generation,fitness,distribution
14,"[0, 2, 2, 0, 2]","[0.4310806920152188, 0.1794386411523291, 1, 0.06122883553890268, 1, 1, 1, 0, 0.5345133852254462, 0.9240993062824413, 1, 1, 0.7447834254459567, 0.5890343219711933, 0.062396856081068264, 0, 0.18710538636793161, 0.30835380298510573, 0, 0.46025357206376527, 0.37986406621118574, 0.0691371257708624, 0, 0, 1, 1]"
15,"[2, 0, 2, 2, 0]","[0.5888000254591504, 0.7588386450904498, 0.887776843037732, 0, 0, 0.9465941290863872, 0.03734241766993118, 0, 1, 0, 1, 0.5805238661094949, 0.8595741821695367, 0.20100198756869725, 0, 0.3952066830987935, 0, 0.8105437091055118, 0.6137447654630073, 0, 0, 0.33976482651493745, 0.1534548013851168, 0, 0.30226503376376823, 1]"
16,"[0, 1, 2, 1, 0]","[0.17100482089829439, 0.5296223182188182, 0.64626760719015, 0.8147883000515477, 0.8799032090704569, 0.8194029789048142, 0.007747469009647734, 1, 1, 0.7368890043425986, 0.5583670659773453, 1, 0.6459794818333556, 0.8750054319623508, 0, 0.6340261740398071, 0, 0.3451956582548191, 0.3239235426551047, 0.18867164547735715, 0.45238888889220785, 0.3247338559060132, 0.971723173174492, 0, 0.18090289320531816, 0.6006023525539521]"
17,"[2, 2, 0, 2, 2]","[0.17100482089829439, 0.5296223182188182, 0.64626760719015, 0.8147883000515477, 0.8799032090704569, 0.8194029789048142, 0.007747469009647734, 1, 1, 0.7368890043425986, 0.5583670659773453, 1, 0.6459794818333556, 0.8750054319623508, 0, 0.6340261740398071, 0, 0.3451956582548191, 0.3239235426551047, 0.18867164547735715, 0.45238888889220785, 0.3247338559060132, 0.971723173174492, 0, 0.18090289320531816, 0.6006023525539521]"
18,"[2, 2, 0, 2, 0]","[0, 0.6316000210174914, 0.5111053881486487, 0, 1, 1, 0, 0.6747423182900314, 0.7321571480414949, 0.110998148717381, 0.5800137972658513, 0.01490364783236553, 0.7347250058585993, 0.9191638527683622, 0, 1, 0.19785611748787213, 0.42022846879482356, 0, 0.07093307226401113, 0.5332233667701136, 0.5415212938935277, 0, 0.8042568687320778, 1, 0.7748942917221173]"
19,"[0, 2, 2, 0, 2]","[0.17100482089829439, 0.39036823576071145, 0, 0.4753346447631507, 1, 1, 0.4927491440810212, 0.6747423182900314, 1, 0.110998148717381, 1, 0.01490364783236553, 0.7347250058585993, 0.9191638527683622, 0.37143256123593504, 1, 0.19785611748787213, 0.42022846879482356, 0, 0.18215668106422922, 0, 0.5415212938935277, 0.4449180817013836, 0.5425957815729271, 1, 0.7748942917221173]"
20,"[0, 2, 0, 2, 2]","[0, 0.6316000210174914, 0.6670859536101169, 0, 1, 0.8803278059239117, 0, 0.6747423182900314, 0.4408535021039025, 0.08746353794598216, 0.8581581561647509, 1, 0.6246466006517154, 0.4575726206542232, 0, 0, 0.18710538636793161, 0.30835380298510573, 0, 0.7180995650446969, 0.7265750317031786, 0.11599046208417829, 0.24782746288056134, 0, 0.8011813608529268, 1]"
21,"[2, 0, 1, 0, 2]","[0.22302887513324632, 0.5450873775892069, 0.3403810247015243, 0, 1, 0.7903951295077785, 0.49083149420564276, 1, 0.4408535021039025, 0, 0.8581581561647509, 0.5070579660434175, 0.6246466006517154, 0.10205215623384178, 0, 0, 0, 0, 0.4746474029372265, 0, 0.7265750317031786, 0.2562801249552533, 0, 0.5976299246762183, 0.6090376701398968, 0.8814440070067936]"
22,"[1, 2, 2, 2, 0]","[0.17198428282759348, 0.552601110074305, 0, 0.4753346447631507, 1, 1, 0.4927491440810212, 0.6747423182900314, 1, 0.47173716619409056, 0.05809686535958403, 0.4990551819792417, 0.7612689651880843, 0.8003662071151665, 0.6942053419296539, 0.6160862211727568, 0, 0.393666914327485, 0, 0, 0, 0.38719626902694737, 0.18264853428871863, 0.6388970586719688, 0.2681385466049725, 0.7748942917221173]"
23,"[0, 0, 2, 2, 2]","[0.17100482089829439, 0.17072005682539104, 0.8427923386464442, 0.7800120180370067, 0.8799032090704569, 1, 0.4927491440810212, 0.22877097762182708, 0.7321571480414949, 0, 0.9410813044882662, 0.01490364783236553, 0.6246466006517154, 0.6564864763384689, 0.3496365711309952, 0.33865845294805674, 0, 0.30835380298510573, 0.6980937634744461, 0.519362500491788, 0.7002323247376645, 0.9739597510525428, 0.4379946243100512, 0.05269256462928307, 0.2936775242896128, 0.9961869183956026]"
24,"[0, 0, 2, 2, 2]","[0.6492298166486739, 0.9936317104683399, 0, 0, 1, 1, 1, 0.7928350232895788, 0.7460418016046836, 0.5911745031545157, 0.7853089005542975, 0.31895587462776753, 1, 0.5067005982139211, 0.04704346600465059, 0.6721221397228327, 0, 0.8543694870630557, 0.18918903411561805, 0.5092526373175015, 0.3647445930308649, 0.32107293876825793, 0, 0.3446247190191146, 0.2752748210591358, 0]"
25,"[1, 0, 2, 0, 2]","[0.175149752617354, 0.39036823576071145, 0, 0.1401610730206757, 1, 0.9628104063640348, 0.8363716669783008, 0.6747423182900314, 0.7048310498504737, 0.3556811870947101, 0.7390222361340636, 0.6648452362629264, 0.6246466006517154, 0.5067005982139211, 0.37143256123593504, 0.7251975328503535, 0.1112862407801194, 0.21877194235972752, 0.23671199433515644, 0.4789640090193348, 0.9705503042588185, 0.23948118490930248, 0.46064360958341244, 0.2340770550149357, 0, 0.5831711782073881]"
26,"[2, 2, 0, 2, 2]","[0.4310806920152188, 1, 0.2759564749131729, 0, 1, 1, 1, 0.5793609405098147, 0.7048310498504737, 0.6582142011516943, 0.7390222361340636, 0, 0.6246466006517154, 0.5067005982139211, 0.37143256123593504, 1, 0, 0.8543694870630557, 0.17646839004357673, 0.28300252536847714, 0.26032393481222726, 0.32107293876825793, 0.10498929545592806, 0.004146897410854833, 0.2752748210591358, 0.30300993360142425]"
27,"[2, 2, 2, 0, 2]","[0.175149752617354, 0.39036823576071145, 0, 0, 1, 0.9479376339553818, 0.82989654281047, 1, 0.7048310498504737, 0.6257088405826687, 0, 0, 0.6686137769537538, 0.8003662071151665, 1, 0.7631261821385824, 0, 0.3586153233722734, 0, 0.28300252536847714, 0.26032393481222726, 0.14796778170663072, 0.10498929545592806, 0.004146897410854833, 0.2752748210591358, 0.30300993360142425]"
28,"[0, 2, 0, 2, 1]","[0.175149752617354, 0.39036823576071145, 0, 0.1401610730206757, 0.7401175261452835, 0.7532875295606055, 1, 0.42385240992488216, 0.9634124278973552, 0.2417968017783001, 0, 0.16081061549105213, 0, 1, 0.8356159350118723, 0.41991570325041727, 0.6272695231003316, 0, 0, 0.18215668106422922, 0.05385364092606715, 1, 0.2749710441171418, 0.6746689445095283, 0.3796409340747432, 0.20684300920648002]"
29,"[2, 0, 2, 2, 0]","[0.175149752617354, 0.2247830559458175, 0, 0, 1, 1, 0.8286905837544228, 0.3175780514916079, 1, 0, 0.30878398280715946, 0.34048418873706365, 0.6923599036291225, 0.5238723134314963, 0.2626545322810425, 1, 0.47069024129784365, 0, 0.25661359184387056, 0.8962963134809808, 0, 0.46667673370154683, 0.5078390680862845, 0.9509241146777498, 0.5400491757179945, 0.20051574881791168]"
30,"[1, 2, 2, 0, 0]","[0.47401334699619835, 0.9504123398776689, 0, 0.16266759495913008, 1, 1, 0.8611130201864283, 0.7928350232895788, 0.7460418016046836, 0.7728415140576554, 0.3038211745018331, 1, 0.6822900638928723, 0, 0.34348778854665885, 0.24776602509318413, 0.6107075830519961, 0, 0.7442319750055686, 1, 0.34845426278328695, 0.1385929788249317, 0, 0.116892325821222, 0.33447677986746294, 0]"
