generation,fitness,distribution
62,"[2, 1, 0, 2, 2]","[0.5620579966456929, 0.735589520104544, 0.48987082232003476, 0, 0.6086595042919822, 0.6070309389958946, 0.3279141322979764, 0.5183533178359221, 1, 0.5693303386222295, 0.5513176262591836, 1, 0.6872254557564562, 0.7385049538458451, 1, 0, 1, 0.7735737927239071, 1, 0.649008827508563, 0, 0.191128297194346, 0.43008342803842303, 0.4365723719902539, 0.13279140007161971, 0.33902307514947094]"
63,"[2, 2, 2, 0, 0]","[0.39820544719256334, 0.8192123567305826, 0.8572255125684012, 0.12204879633210708, 0.6086595042919822, 0.8540291501276178, 0.3279141322979764, 0.5183533178359221, 0.9268042535005672, 0.5693303386222295, 0.633183184321792, 1, 0.5483726874606867, 0, 0, 1, 1, 1, 0.8993078885325215, 0.9350648400711974, 1, 0, 0.1330380906647739, 0.7614310549816068, 0.23733482356040314, 0.036775323927350945]"
64,"[0, 2, 2, 2, 0]","[1, 0.5698165047525766, 0.45694218640290574, 0.39816467022196445, 1, 0.6965034992981668, 1, 0, 1, 0.5450257433657746, 0, 0.9761607867664392, 0.84172388502228, 0, 1, 1, 0.7748734871286962, 0, 0.4970235282609846, 0.8344315400742346, 0.38114503925443954, 0.7623878108173094, 0.23065543325281102, 1, 0.8303839221059914, 1]"
65,"[2, 2, 2, 0, 0]","[0.7465962114808737, 1, 0.45694218640290574, 0.46115946565947785, 0.6906085381353467, 1, 1, 0.1516882207952932, 1, 0.305179566705697, 0, 1, 0.5033459589444204, 0.25103945536440186, 0.8320932681526673, 1, 1, 0.2961521407608436, 0.7857074532659666, 1, 0.38114503925443954, 0.7991187556407856, 0.39948090747879583, 0.8199640225497588, 0.727446360015066, 1]"
66,"[2, 0, 0, 2, 2]","[1, 0.5698165047525766, 0.45694218640290574, 0.11125019634062194, 1, 0.7807276500264468, 0.8057383879883488, 0, 1, 0, 0, 0.8246623450729765, 0.1732644820430057, 0.1645598776497208, 0, 0.8715264084350183, 0.5708313968874653, 0.8651690826866538, 0.7857074532659666, 1, 0, 0.9053008849164799, 0.04045423650667512, 0.6242529542187707, 0.8303839221059914, 0.9117298887322558]"
67,"[2, 2, 0, 0, 2]","[0.6587898811002801, 0, 0.5873470123871919, 0.0955001395346281, 1, 0.7807276500264468, 0.37179186254961916, 0.5769067079360745, 1, 0, 0, 0.5819188836436587, 0.1732644820430057, 0.38232112898780246, 0, 1, 0.501920984237272, 0.8651690826866538, 1, 1, 0, 0.9053008849164799, 0.04045423650667512, 0.6242529542187707, 0.8303839221059914, 0.8270901736169044]"
68,"[0, 2, 0, 2, 2]","[0.6587898811002801, 0, 0.5873470123871919, 0.0955001395346281, 1, 0.7807276500264468, 0.37179186254961916, 0.5769067079360745, 1, 0, 0, 0.5819188836436587, 0.1732644820430057, 0.38232112898780246, 0, 1, 0.501920984237272, 0.8651690826866538, 1, 1, 0, 0.9053008849164799, 0.04045423650667512, 0.6242529542187707, 0.8303839221059914, 0.8270901736169044]"
69,"[1, 2, 2, 0, 1]","[0.11536887410859609, 0.4691258522790196, 0.35619094979921406, 1, 0, 0.43253269728277455, 0.3902476798526294, 0.04098556252490848, 1, 1, 0.7240205892989223, 0.17220335588558577, 0, 1, 0.8971013663902828, 0.454999524265021, 0.5479872092923157, 0.2464525908350752, 0.5151601398951379, 0.5941801474838923, 0.469838539380234, 0.9671266690933996, 0.4610005261498664, 0.5259309840663883, 0.49330656183319943, 0]"
70,"[1, 0, 0, 2, 2]","[0.21695149661833268, 0.8104421527529528, 0, 1, 0, 0.43253269728277455, 0.3902476798526294, 0, 0.5695971377358158, 0.509747572152503, 0.7240205892989223, 0, 0, 1, 1, 0.31918053386159273, 0.7531636938424909, 0.29566921009206826, 0.5151601398951379, 0.5941801474838923, 0.44039342125207515, 0.8883418999206141, 0.16757528192860915, 0.5259309840663883, 0.6879732535090861, 0.42519421652752176]"
71,"[2, 2, 0, 1, 2]","[0.4574401646431844, 0.4691258522790196, 0.35619094979921406, 0.45058850100860603, 0, 0.1767891997391442, 0.6744508692630093, 0.2869726495313206, 1, 0, 0, 0.4400902745622044, 0.1732644820430057, 0.12019113379963497, 0.6986729075431163, 0.8715264084350183, 1, 0.9442702289860139, 0.5424746370817684, 0.19859509468866043, 0, 0.9053008849164799, 0.4145415164720536, 0.18493012656309016, 0.8303839221059914, 1]"
72,"[0, 0, 2, 2, 0]","[0.4645862688702984, 0.27637185190308955, 0.35619094979921406, 0.8083119558607513, 0.4969249746713267, 0.6619464380989879, 0.5610189384185614, 0, 1, 0.14857284518449188, 0.4887078800507816, 0.17220335588558577, 0.1732644820430057, 0.3546526822654943, 0.7335329487379656, 1, 0.5182322945988771, 0.9151442466275234, 0.9117280883016304, 0.47400809343935735, 0, 0.9053008849164799, 0, 0.4365723719902539, 0.5030376944559178, 0.8053768887664118]"
73,"[1, 0, 2, 2, 2]","[0.2692845158038486, 0.27637185190308955, 0.2758653318131358, 0.9171482423040291, 0.4969249746713267, 0.6619464380989879, 0.029778691272632885, 0, 1, 1, 0.7459962322037832, 0.17220335588558577, 0, 1, 0.661749447718318, 0.5504404876439906, 0.6899402492672524, 0.9331465634600962, 0.6657604890486483, 0.627333384498539, 0, 0.9053008849164799, 0, 0.5326858706377267, 1, 0.5716896059160084]"
74,"[2, 0, 0, 2, 2]","[0, 0.4691258522790196, 0.4694461733231998, 0.6998140836003698, 0, 0.24681241313011948, 1, 0.2869726495313206, 1, 0, 0.46896306464695914, 0.8246623450729765, 0.2973430511253159, 0.03245443546288185, 0.6986729075431163, 1, 0.7399273149651614, 0.9442702289860139, 0.5716162242533336, 0.47400809343935735, 0, 0.9053008849164799, 0.4145415164720536, 0.3435228461493809, 0.8303839221059914, 0.6112548805909527]"
75,"[0, 2, 2, 2, 2]","[0.2628981627336112, 0.46668917623865946, 0.35351353245769856, 0.8083119558607513, 0.2860837116581817, 0.9692744024595699, 0.27146631511636776, 0.40623405531713597, 1, 1, 0.8400972263184314, 0.2530758112232139, 0.20552249573141235, 0.5823588435020675, 0.661749447718318, 0.7110987450108793, 0.6899402492672524, 0.9331465634600962, 0.6657604890486483, 0.627333384498539, 0, 0.8059371810115598, 0, 0.604077688540858, 0.896784325826814, 0.41011878586513295]"
76,"[2, 0, 2, 2, 0]","[0.24960975253895978, 0.0702425441327208, 1, 0.3710767594591434, 0.8370989861863183, 0.1767891997391442, 1, 0.2869726495313206, 1, 0, 0, 0.34975553983856356, 0.2973430511253159, 0.03245443546288185, 0.5922300707612603, 0.8894342761121391, 0.3290178593340606, 0.2464525908350752, 0.8985671508266739, 0.27137725976263405, 0.3829951151543042, 0.03291797200155255, 0.4069966601420598, 0.4365723719902539, 0.5433893577741361, 0.5716896059160084]"
77,"[2, 0, 0, 2, 2]","[1, 0.9265861099618742, 0.4314634126888527, 0.7804699328155641, 0, 0, 1, 0.2869726495313206, 0.561258564677466, 0, 0, 1, 0, 0.3439305731357809, 0.2847715866929865, 0.7110987450108793, 0.33939193705962134, 0.8413190562410017, 0.6657604890486483, 0.627333384498539, 0, 0.8059371810115598, 0.3387651958784086, 0.8213341212189139, 0.896784325826814, 0.5817330150137386]"
78,"[1, 2, 0, 0, 2]","[1, 0.9265861099618742, 0.4314634126888527, 0.7804699328155641, 0, 0, 1, 0.2869726495313206, 0.561258564677466, 0, 0, 1, 0, 0.3439305731357809, 0.2847715866929865, 0.7110987450108793, 0.33939193705962134, 0.8413190562410017, 0.6657604890486483, 0.627333384498539, 0, 0.8059371810115598, 0.3387651958784086, 0.8213341212189139, 0.896784325826814, 0.5817330150137386]"
79,"[1, 0, 2, 2, 0]","[0.321445721759157, 0.4691258522790196, 0.4314634126888527, 0.7804699328155641, 0, 0, 1, 0, 1, 0.06479626211913703, 0.16808204230489543, 0.7062206706543855, 0.09006904648584213, 0.8586316854463507, 0.2306970517797613, 0.7110987450108793, 0.6217703999143955, 0.8197792358131413, 0.6657604890486483, 0.5943726456202671, 0, 1, 0, 1, 1, 0.23558508793807564]"
80,"[2, 0, 0, 2, 2]","[0.6568939329725587, 0.2183399706482, 0.5491318599038898, 0.15401896614881083, 0, 0, 1, 0, 1, 0.17917877794264558, 0.16808204230489543, 0.4014558178666098, 0.09006904648584213, 0.8586316854463507, 0.2306970517797613, 0.7110987450108793, 0.46690466310186085, 0.9968620897259035, 0.6222143508680723, 0.5943726456202671, 0, 1, 0.23762585966967398, 1, 1, 0.23558508793807564]"
81,"[2, 2, 0, 2, 2]","[0.1722740633981893, 0.2183399706482, 0.8128193628701134, 0.4221936215100458, 1, 0.9734332864485514, 0.9655612264289897, 0.5645580209813101, 0.5559560454320286, 0.23181774186253679, 0.01456960311971045, 0.9206404280823278, 0.5051835339503944, 0.4325285613978136, 0.4869578438966866, 0.695479982589981, 0.8430493993808116, 0.5601237155810282, 0.23366815443429223, 0.74639709040753, 0.16023975560306059, 1, 0.0376909805242327, 0.940427204330446, 0.9091703568728563, 0.4139814367450775]"
82,"[2, 0, 1, 0, 2]","[0, 0.20483416270615284, 0.7250643317485901, 0.15401896614881083, 1, 1, 0.7652086906751567, 0.14356995934676187, 0.6461761193079403, 0.06130542845142872, 0.01456960311971045, 0.7062206706543855, 0, 0.8586316854463507, 1, 0.7110987450108793, 0, 0.8197792358131413, 0.44511978125434515, 0.24069849671818133, 0, 0.6901748751074795, 0, 0.369586310515034, 0.5772800842678093, 0.10053280713865986]"
83,"[0, 0, 2, 2, 2]","[0.022963081739861613, 1, 0.8568149649245269, 0.9452696438163557, 0.0292366434122715, 0.5364448426469737, 0.02558529780979224, 0.048283527571846396, 1, 0, 0, 0.34029824807788567, 0.1732644820430057, 0.7616806679309758, 0.33148750459152765, 0.7815329289738884, 1, 1, 0.618926060754357, 0.1524483055609024, 0.47734189386522374, 0.8059371810115598, 0, 1, 1, 0]"
84,"[1, 2, 2, 0, 0]","[0.9851438320451, 0.46668917623865946, 0.8128193628701134, 0.4821069539423877, 1, 1, 0.9655612264289897, 0.46125742689505433, 0.5559560454320286, 0, 0, 1, 0.03321497409587437, 1, 0.8618464160017042, 0.695479982589981, 0.8915835202239125, 0.5601237155810282, 0.4859811810843564, 0.5367680607508842, 0.003639890559047232, 0.10679657953671928, 0.9507988635262765, 0.6279540009077179, 0.8469699719869623, 1]"
85,"[2, 0, 0, 2, 2]","[0.6673554546586868, 0.01013217963153501, 0.8128193628701134, 0.4821069539423877, 1, 1, 0.9655612264289897, 0.32212832065568164, 0.5559560454320286, 0.28284855884533167, 0, 1, 0, 1, 0.6720820442818686, 0.695479982589981, 0.8915835202239125, 0.5601237155810282, 0.4859811810843564, 0.4491388891788738, 0, 0.8280604665795694, 0, 0.4598729042022316, 0.8958489143222462, 1]"
86,"[1, 2, 2, 2, 0]","[0, 0.4090637868519601, 0.5692644287560765, 0.5718334198946384, 1, 0.599118599707166, 0.8981904001643728, 0.6462819189188971, 0.37237972595018665, 0.44330044712051087, 0.30870949148609583, 0.6146557087402903, 0.4535730618653582, 0.7138884176608872, 0.8979544316126377, 1, 1, 0.5711552571597712, 0.9170227176904948, 0.5367680607508842, 0.003639890559047232, 0, 0.9507988635262765, 0.6279540009077179, 1, 1]"
87,"[1, 0, 2, 2, 2]","[1, 0.6677452329763804, 0.623470053677278, 0.0256486359124104, 1, 1, 0.74814653528155, 0.46125742689505433, 0.5559560454320286, 0, 0.08543937928729639, 0.8147536130120958, 0.24878240470033297, 0.8777936385102274, 0.4467340389409986, 0.785262696269401, 0.7050103521276838, 0, 0.8609108452195702, 0.10006632138050164, 0, 0.3116368579412143, 0.04535960549441065, 1, 1, 0.4120476262575046]"
88,"[2, 2, 2, 0, 2]","[0.6601867144008192, 0.8761017179480656, 0.623470053677278, 0, 0.828701208776406, 1, 0.74814653528155, 0.8314285126925853, 0.5559560454320286, 0, 0, 0.9073816483735924, 0, 0.680184586812519, 0.4467340389409986, 0.7567312987474145, 0.050050386989311635, 0.23739308950413418, 1, 0, 0, 0.7765899447460148, 0.04535960549441065, 1, 0.931986415593789, 0.34828948169459184]"
89,"[0, 2, 1, 2, 2]","[0.6601867144008192, 0.8761017179480656, 0.623470053677278, 0, 0.828701208776406, 1, 0.74814653528155, 0.8314285126925853, 0.5559560454320286, 0, 0, 0.9073816483735924, 0, 0.680184586812519, 0.4467340389409986, 0.7567312987474145, 0.050050386989311635, 0.23739308950413418, 1, 0, 0, 0.7765899447460148, 0.04535960549441065, 1, 0.931986415593789, 0.34828948169459184]"
90,"[2, 0, 0, 2, 2]","[0, 1, 0.36109725802053094, 0.5060998270603131, 0.5888243639166244, 0.5034794389832571, 0.8981904001643728, 0.8148944716034215, 0.7673238991724952, 0, 0.4212635193719979, 0.3682950914504175, 0.4162141930869442, 1, 0, 0.536704734610969, 1, 0.6139551574175017, 0.9522682625634329, 0.20972271094404982, 0, 0.5961722077934948, 0, 1, 1, 0]"
91,"[2, 2, 2, 1, 0]","[0.12872225829943873, 0.09382319347360324, 0.6758157113052509, 0.6165433304600549, 0.8278128020957635, 0.6109064348307786, 1, 0.7898947395433327, 0.5467093822143252, 0, 0.09768458308236272, 0.814413552894007, 0.7354661681575506, 1, 0.01135532367084735, 0.8507307150940118, 1, 0.8382678671944379, 0.4960102040578952, 0.5033944166358522, 0, 0.5422432004573793, 0, 1, 1, 0]"
92,"[2, 2, 0, 1, 2]","[0.8994757905240826, 0.7998774828473985, 0.791330832699811, 0.9319613077449546, 0.9353674203302578, 1, 0.8981904001643728, 0.7898947395433327, 0.6024847288111953, 0, 0.18712420529536689, 0.6853772311831517, 0.9936207546118548, 0.5986796158413711, 0.01135532367084735, 1, 0.36652780880152636, 0.13673738875156372, 1, 0.9113223213992108, 0.37881231819533867, 1, 0, 0.5415315820117913, 1, 0.1810837617595591]"
93,"[0, 2, 0, 2, 0]","[0.4897229142884023, 0, 0.3467127707750035, 0.7255905244794388, 0.8315040113866289, 1, 0.9655612264289897, 0.9418016496199954, 0.1535153802909831, 0, 0.06066630213450619, 1, 0.9936207546118548, 1, 0.36348366811494814, 0.8178156376112502, 0.0669038721014602, 0.4867172671660557, 0.5168466585681164, 0.9113223213992108, 0.37881231819533867, 0.5147886613906221, 1, 0.7944784096828658, 1, 0.48980869927521775]"
94,"[2, 0, 0, 1, 2]","[0, 0, 1, 0.8271943656822754, 0.6709333838245692, 0.940968337897125, 0.9655612264289897, 0.3533951855863977, 1, 0.34864671118010737, 0, 1, 0.02326842790998007, 0.680184586812519, 0.47843187193387415, 1, 0.0642521533632876, 0, 0.566156910725129, 0.45617321243727893, 0, 0.5379943393475813, 0.21033765075203015, 0, 1, 0.586733612243033]"
95,"[2, 1, 1, 2, 1]","[0.8994757905240826, 0.49270982329582647, 0.46380879650447904, 0.6367811044671716, 1, 0.769665432135459, 0.8981904001643728, 0.6548477081045898, 0.6024847288111953, 0, 0.8248655118096943, 0.6853772311831517, 0.9936207546118548, 0.9373545485612091, 0.39998745543228387, 0.9557879071378766, 0.0669038721014602, 0.4867172671660557, 1, 0.441300334621448, 0.5227832230148088, 1, 0.3946885447335582, 0.44024926657314223, 1, 0.06034400748938196]"
96,"[0, 2, 2, 0, 2]","[0.9409079280674535, 0.8165800211806293, 0.46380879650447904, 0.6367811044671716, 0.2325293432416754, 0.8350019349221623, 0.6266860827678532, 0.9856597303938394, 1, 0.487101566837016, 0.8248655118096943, 0.8277485147598135, 1, 0.5640126858284994, 0, 0.3879154270012314, 0, 0.33771817548725036, 0.10784404003479964, 0.3526145227085662, 0.3819073804284254, 0.46186300051480733, 0.1591208727533624, 0.4265667709441193, 1, 0.7319246128603805]"
97,"[2, 0, 0, 2, 2]","[0.10675133230759581, 1, 0.14906276929350726, 0, 1, 1, 0.5486863361331749, 0.5593005038763676, 0.7514069922952707, 0, 0, 0.10642814567933823, 0.9936207546118548, 0.7331916081235949, 0.8629272398092367, 0.36172015329275664, 0.31774314150949934, 0.02135534904367231, 0.80254535089336, 1, 0, 0.24905447700394934, 0.138836126325123, 0.5492389836179625, 0, 0.2424677323350557]"
98,"[2, 0, 0, 1, 2]","[0.8450716612997029, 1, 0.29537265723349215, 0.448879908887012, 0.8911831773194943, 0.8351170200920269, 1, 0.7898947395433327, 0.5324804963159807, 0.5165736952152236, 0.8780524816627205, 0.5266266994886585, 0.9936207546118548, 1, 0, 1, 0, 0.5116157994536444, 1, 1, 0.10421469034129871, 0.7438318903338661, 0.4023604622391821, 0.5415315820117913, 0.8028198286390823, 0.7062181059977016]"
99,"[2, 0, 0, 0, 2]","[0, 1, 0.40334805168192844, 1, 0.40114639860516144, 0.5022879963036495, 1, 0.7668907331532814, 0.49484248946780995, 0.336033431466361, 0.8881506497676894, 0.8705333153978617, 0.15730986002361902, 0.7331916081235949, 0.08032461586432793, 1, 0.11801209821437464, 0.02135534904367231, 1, 1, 0, 0.8202904745745305, 0.3547634805466797, 0.47620127291580194, 0.8942910250273501, 0.5919099715767113]"
